url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbol,num_question_marks,num_equals,num_ampersand,num_percent,num_digits,digit_ratio,has_https,has_ip_address,subdomain_depth,path_depth,hostname_has_hyphen,tld_in_path,shannon_entropy,suspicious_keyword_count,Label
244,23,17,196,8,0,3,4,0,1,7,6,1,60,0.2459016393442623,0,0,1,2,0,0,5.207049541487246,1,0
26,17,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,0,0,0,3.844106544814537,0,1
34,25,1,0,2,1,0,3,0,0,0,0,0,6,0.17647058823529413,1,0,1,0,1,0,4.29277019393699,0,1
36,23,6,0,3,0,0,3,0,0,0,0,0,0,0.0,0,0,1,1,0,0,3.80827083453526,0,1
91,43,41,0,3,1,0,3,0,0,0,0,0,35,0.38461538461538464,0,0,1,1,1,0,4.859297184502599,0,1
32,13,11,0,3,0,0,3,0,0,0,0,0,0,0.0,1,0,1,1,0,0,3.79595859334435,0,0
77,16,53,0,1,5,0,5,0,0,0,0,0,0,0.0,1,0,0,2,0,0,4.3733214973956995,0,0
51,32,11,0,3,2,0,3,0,0,0,0,0,2,0.0392156862745098,1,0,1,1,1,0,4.177039802628547,0,0
19,11,1,0,1,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3.4713544870139286,0,1
60,43,9,0,3,1,0,3,0,0,0,0,0,19,0.31666666666666665,1,0,1,1,1,0,4.483822629187616,0,1
27,18,1,0,2,0,0,3,0,0,0,0,0,4,0.14814814814814814,1,0,1,0,0,0,3.9582291686698787,0,1
109,38,1,61,2,0,3,3,0,1,1,0,0,6,0.05504587155963303,1,0,1,0,0,0,5.185224751553755,0,1
68,11,49,0,3,1,0,7,0,0,0,0,0,4,0.058823529411764705,1,0,1,5,0,0,4.408713165979441,0,0
76,14,1,52,2,0,3,3,0,1,3,2,0,1,0.013157894736842105,1,0,1,0,0,0,4.531329034432034,0,0
45,23,8,5,2,1,0,3,0,1,0,0,0,5,0.1111111111111111,1,0,0,1,1,0,4.463749485074333,0,1
101,14,30,48,2,1,2,5,0,1,3,2,0,8,0.07920792079207921,1,0,1,3,0,0,4.802287791777123,0,0
85,13,64,0,1,6,0,5,0,0,0,0,0,30,0.35294117647058826,1,0,0,2,0,0,4.676939395359098,0,0
72,19,30,15,3,1,0,4,0,1,1,0,0,4,0.05555555555555555,0,0,1,2,0,0,4.633186072079894,0,0
32,23,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,0,0,0,3.6556390622295662,0,1
36,27,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,0,0,0,3.898412848364052,0,1
26,12,6,0,1,0,2,3,1,0,0,0,0,0,0.0,1,0,0,1,0,0,3.8731406795131322,0,0
73,11,1,52,2,0,0,7,0,1,2,1,0,0,0.0,1,0,0,0,0,0,4.33445559454818,0,0
41,32,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,0,0,0,4.034023650801244,0,1
77,33,36,0,3,2,0,6,0,0,0,0,0,9,0.11688311688311688,1,0,2,4,1,0,4.666781872174929,0,0
127,51,68,0,9,6,3,6,0,0,0,0,0,18,0.14173228346456693,1,0,3,4,1,0,4.674961707028279,0,0
52,11,33,0,5,0,0,5,0,0,0,0,0,0,0.0,1,0,1,3,0,0,4.291624699560681,0,0
52,10,14,19,3,0,0,5,0,1,1,0,0,0,0.0,1,0,0,2,0,0,4.2272982001770965,0,0
34,25,1,0,2,1,0,3,0,0,0,0,0,6,0.17647058823529413,1,0,1,0,1,0,4.29277019393699,0,1
31,13,11,0,3,0,0,3,0,0,0,0,0,0,0.0,0,0,1,1,0,0,3.8371256496420134,0,0
64,44,12,0,3,5,0,3,0,0,0,0,0,0,0.0,1,0,1,1,1,0,4.0869000497097865,0,1
